"Timestamp","Rate Avengers: Endgame (2019)","Rate The Lion King (2019)","Rate Joker (2019)","Rate Everything Everywhere All at Once (2022)","Rate The Matrix Resurrections (2021)","Rate King Richard (2021)"
"2023/01/31 11:20:20 AM PST","5 - I immediately saw it again","1 - Time I can't get back, now who owes me money?","4 - I could see myself watching it again","3 - It was average","2 - It had some good moments, but I would avoid watching it again","4 - I could see myself watching it again"
"2023/01/31 11:23:26 AM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","3 - It was average","3 - It was average","2 - It had some good moments, but I would avoid watching it again","3 - It was average"
"2023/01/31 11:27:57 AM PST","3 - It was average","3 - It was average","[N/A] I have not seen it","4 - I could see myself watching it again","[N/A] I have not seen it","4 - I could see myself watching it again"
"2023/01/31 11:28:25 AM PST","4 - I could see myself watching it again","5 - I immediately saw it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 11:28:38 AM PST","5 - I immediately saw it again","5 - I immediately saw it again","4 - I could see myself watching it again","4 - I could see myself watching it again","5 - I immediately saw it again","4 - I could see myself watching it again"
"2023/01/31 11:29:26 AM PST","3 - It was average","4 - I could see myself watching it again","5 - I immediately saw it again","3 - It was average","3 - It was average","4 - I could see myself watching it again"
"2023/01/31 11:29:50 AM PST","5 - I immediately saw it again","[N/A] I have not seen it","5 - I immediately saw it again","5 - I immediately saw it again","1 - Time I can't get back, now who owes me money?","4 - I could see myself watching it again"
"2023/01/31 11:30:17 AM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 11:33:08 AM PST","5 - I immediately saw it again","5 - I immediately saw it again","3 - It was average","5 - I immediately saw it again","1 - Time I can't get back, now who owes me money?","3 - It was average"
"2023/01/31 11:34:29 AM PST","5 - I immediately saw it again","[N/A] I have not seen it","4 - I could see myself watching it again","[N/A] I have not seen it","2 - It had some good moments, but I would avoid watching it again","[N/A] I have not seen it"
"2023/01/31 11:35:07 AM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","4 - I could see myself watching it again","5 - I immediately saw it again","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 11:36:02 AM PST","3 - It was average","3 - It was average","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 11:36:04 AM PST","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 11:36:05 AM PST","5 - I immediately saw it again","2 - It had some good moments, but I would avoid watching it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 11:38:36 AM PST","[N/A] I have not seen it","[N/A] I have not seen it","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","4 - I could see myself watching it again"
"2023/01/31 11:38:47 AM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","3 - It was average","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 11:39:49 AM PST","[N/A] I have not seen it","5 - I immediately saw it again","[N/A] I have not seen it","[N/A] I have not seen it","4 - I could see myself watching it again","3 - It was average"
"2023/01/31 11:40:48 AM PST","3 - It was average","4 - I could see myself watching it again","5 - I immediately saw it again","4 - I could see myself watching it again","4 - I could see myself watching it again","3 - It was average"
"2023/01/31 11:43:02 AM PST","3 - It was average","[N/A] I have not seen it","4 - I could see myself watching it again","4 - I could see myself watching it again","4 - I could see myself watching it again","[N/A] I have not seen it"
"2023/01/31 12:00:15 PM PST","5 - I immediately saw it again","1 - Time I can't get back, now who owes me money?","5 - I immediately saw it again","4 - I could see myself watching it again","2 - It had some good moments, but I would avoid watching it again","4 - I could see myself watching it again"
"2023/01/31 12:03:37 PM PST","4 - I could see myself watching it again","3 - It was average","5 - I immediately saw it again","3 - It was average","5 - I immediately saw it again","4 - I could see myself watching it again"
"2023/01/31 12:05:21 PM PST","5 - I immediately saw it again","[N/A] I have not seen it","5 - I immediately saw it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 12:10:29 PM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","3 - It was average","4 - I could see myself watching it again","4 - I could see myself watching it again","5 - I immediately saw it again"
"2023/01/31 12:13:40 PM PST","4 - I could see myself watching it again","[N/A] I have not seen it","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 12:17:52 PM PST","3 - It was average","[N/A] I have not seen it","[N/A] I have not seen it","4 - I could see myself watching it again","[N/A] I have not seen it","4 - I could see myself watching it again"
"2023/01/31 12:42:41 PM PST","4 - I could see myself watching it again","3 - It was average","3 - It was average","5 - I immediately saw it again","4 - I could see myself watching it again","[N/A] I have not seen it"
"2023/01/31 12:57:25 PM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","3 - It was average","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 1:00:50 PM PST","[N/A] I have not seen it","[N/A] I have not seen it","4 - I could see myself watching it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 1:01:54 PM PST","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 1:29:14 PM PST","3 - It was average","[N/A] I have not seen it","2 - It had some good moments, but I would avoid watching it again","4 - I could see myself watching it again","2 - It had some good moments, but I would avoid watching it again","4 - I could see myself watching it again"
"2023/01/31 1:30:36 PM PST","5 - I immediately saw it again","4 - I could see myself watching it again","4 - I could see myself watching it again","4 - I could see myself watching it again","3 - It was average","3 - It was average"
"2023/01/31 1:36:34 PM PST","3 - It was average","4 - I could see myself watching it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 2:34:07 PM PST","4 - I could see myself watching it again","[N/A] I have not seen it","4 - I could see myself watching it again","[N/A] I have not seen it","1 - Time I can't get back, now who owes me money?","4 - I could see myself watching it again"
"2023/01/31 2:36:41 PM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 2:40:55 PM PST","4 - I could see myself watching it again","5 - I immediately saw it again","3 - It was average","[N/A] I have not seen it","4 - I could see myself watching it again","[N/A] I have not seen it"
"2023/01/31 3:21:15 PM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","4 - I could see myself watching it again","4 - I could see myself watching it again","3 - It was average","4 - I could see myself watching it again"
"2023/01/31 3:53:57 PM PST","5 - I immediately saw it again","3 - It was average","4 - I could see myself watching it again","4 - I could see myself watching it again","2 - It had some good moments, but I would avoid watching it again","2 - It had some good moments, but I would avoid watching it again"
"2023/01/31 5:30:19 PM PST","4 - I could see myself watching it again","[N/A] I have not seen it","4 - I could see myself watching it again","5 - I immediately saw it again","1 - Time I can't get back, now who owes me money?","[N/A] I have not seen it"
"2023/01/31 5:59:28 PM PST","5 - I immediately saw it again","2 - It had some good moments, but I would avoid watching it again","4 - I could see myself watching it again","3 - It was average","3 - It was average","4 - I could see myself watching it again"
"2023/01/31 6:52:29 PM PST","1 - Time I can't get back, now who owes me money?","[N/A] I have not seen it","2 - It had some good moments, but I would avoid watching it again","3 - It was average","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 7:55:23 PM PST","4 - I could see myself watching it again","3 - It was average","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 7:55:55 PM PST","3 - It was average","1 - Time I can't get back, now who owes me money?","2 - It had some good moments, but I would avoid watching it again","3 - It was average","1 - Time I can't get back, now who owes me money?","5 - I immediately saw it again"
"2023/01/31 8:18:38 PM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 8:50:20 PM PST","1 - Time I can't get back, now who owes me money?","[N/A] I have not seen it","5 - I immediately saw it again","4 - I could see myself watching it again","2 - It had some good moments, but I would avoid watching it again","[N/A] I have not seen it"
"2023/01/31 9:28:53 PM PST","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","5 - I immediately saw it again","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 10:34:28 PM PST","4 - I could see myself watching it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/01/31 11:56:02 PM PST","4 - I could see myself watching it again","[N/A] I have not seen it","4 - I could see myself watching it again","4 - I could see myself watching it again","3 - It was average","4 - I could see myself watching it again"
"2023/02/01 4:57:28 AM PST","4 - I could see myself watching it again","5 - I immediately saw it again","4 - I could see myself watching it again","[N/A] I have not seen it","3 - It was average","[N/A] I have not seen it"
"2023/02/01 6:19:03 AM PST","2 - It had some good moments, but I would avoid watching it again","4 - I could see myself watching it again","4 - I could see myself watching it again","5 - I immediately saw it again","4 - I could see myself watching it again","[N/A] I have not seen it"
"2023/02/01 7:44:26 AM PST","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","5 - I immediately saw it again","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/02/01 8:17:36 AM PST","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it","[N/A] I have not seen it"
"2023/02/01 12:42:53 PM PST","4 - I could see myself watching it again","3 - It was average","[N/A] I have not seen it","5 - I immediately saw it again","[N/A] I have not seen it","3 - It was average"
"2023/02/01 1:49:42 PM PST","[N/A] I have not seen it","4 - I could see myself watching it again","4 - I could see myself watching it again","4 - I could see myself watching it again","[N/A] I have not seen it","[N/A] I have not seen it"